exp_contrast exp_mp_avg exp_mp_sd exp_mp_noise
0.336729 -0.001454 2.013959 0.750189
0.145009 0.002180 1.191604 0.451791
0.142787 -0.000405 1.219068 0.454519
0.269434 0.001250 1.737864 0.594841
0.053020 -0.001498 0.644489 0.323376
0.114442 -0.000811 1.027925 0.412202
0.198888 0.002093 1.489449 0.527665
0.077777 -0.000372 0.751010 0.349218
0.338050 0.000908 1.789770 0.623218
0.112013 -0.002150 0.946728 0.399705
0.321439 0.000794 1.807155 0.613762
0.233299 -0.003542 1.441541 0.489861
0.151403 0.005117 1.088725 0.409348
0.119490 -0.002926 0.962911 0.375830
0.257450 0.000996 1.513674 0.503104
